"bd_name","bd_city","bd_prov","bd_phone","bd_manufacturer","match_type","suggested_action","prod_match_name","prod_match_prov","prod_match_status","prod_match_address","evidence","flags"
"Acura of Moncton","Moncton","NB","5068531116","Acura","name+phone","skip-existing","Acura of Moncton","NB","active","1170 Aviation Ave, Dieppe New Brunswick E1A9A3","name exact + phone match",""
"Tucker Acura","Mount Pearl","NL","7093642423","Acura","none","import-new","","","","","no name/phone/fuzzy match",""
"Atlantic Acura","Halifax","NS","9024571555","Acura","none","import-new","","","","","no name/phone/fuzzy match",""
"Audi Moncton","Moncton","NB","5068612834","Audi","phone-only","review","Audi of Moncton","NB","active","800 Aviation Ave, Dieppe NB E1A9A3","phone match, name differs → ""Audi of Moncton"" (variant?)",""
"Audi St. John's","St John's","NL","7096062188","Audi","none","import-new","","","","","no name/phone/fuzzy match",""
"Audi Halifax","Halifax","NS","9024532834","Audi","none","import-new","","","","","no name/phone/fuzzy match",""
"BMW Moncton","Moncton","NB","5068725400","BMW","name+phone","skip-existing","BMW Moncton","NB","active","733 Ferdinand Blvd, Moncton NB","name exact + phone match","phone shared across BD rooftops"
"BMW St. John's","St John's","NL","7097543269","BMW","name+phone","skip-existing","BMW St. John's","NL","active","St John's NL","name exact + phone match","phone on 2 prod dealers (group switchboard?)"
"O'Regan's BMW","Halifax","NS","9024545000","BMW","group-other-rooftop","import-new","O'Regan's Dartmouth Hyundai","NS","active","Dartmouth NS","same group as ""O'Regan's Dartmouth Hyundai"" but distinct phone + different brand → new rooftop",""
"Bayside Chrysler Dodge Ltd","Bathurst","NB","5065466606","FCA","none","import-new","","","","","no name/phone/fuzzy match",""
"Bayside Chrysler Dodge Ltd - Tracadie","Tracadie-Sheila","NB","5063951233","FCA","none","import-new","","","","","no name/phone/fuzzy match",""
"Bouctouche Chrysler Dodge Ltd.","Bouctouche","NB","5067432497","FCA","none","import-new","","","","","no name/phone/fuzzy match",""
"Connell Chrysler Ltd","Woodstock","NB","5063289243","FCA","none","import-new","","","","","no name/phone/fuzzy match",""
"Dobson Chrysler Dodge","Saint John","NB","5066346060","FCA","none","import-new","","","","","no name/phone/fuzzy match",""
"Fairview Chrysler Ltd","Fredericton","NB","9056324335","FCA","none","import-new","","","","","no name/phone/fuzzy match",""
"Moffitt Dodge Chrysler Ltd","Oak Bay","NB","5064663061","FCA","none","import-new","","","","","no name/phone/fuzzy match",""
"Moncton Chrysler Jeep Dodge","Moncton","NB","5068573939","FCA","none","import-new","","","","","no name/phone/fuzzy match",""
"Norrad Chrysler Dodge Jeep","Sussex","NB","5064331890","FCA","fuzzy-name","review","Norrad Chrysler","NB","active","40 Leonard Drive, Sussex NB E4E2R4","fuzzy name ~ ""Norrad Chrysler"" (score 0.50)",""
"Rallye Chrysler Dodge Jeep Ram","Moncton","NB","5068528210","FCA","fuzzy-name","review","Rallye Motors Chrysler","NB","active","1810 Main St., Moncton NB E1E4S7, Canada","fuzzy name ~ ""Rallye Motors Chrysler"" (score 0.40)",""
"Rendez-Vous Chrysler Ltd","Grand Falls","NB","5064735000","FCA","none","import-new","","","","","no name/phone/fuzzy match",""
"Summit Dodge Chrysler Jeep","Fredericton","NB","8445259853","FCA","none","import-new","","","","","no name/phone/fuzzy match","toll-free"
"Towne Chrysler","Miramichi","NB","5066223900","FCA","none","import-new","","","","","no name/phone/fuzzy match",""
"City Chrysler Dodge Jeep Ram","Corner Brook","NL","7096371000","FCA","none","import-new","","","","","no name/phone/fuzzy match",""
